Nom commun utilisé par le COSEPAC,Population selon le COSEPAC,Statut selon le COSEPAC,Date de la dernière évaluation par le COSEPAC,Nom scientifique,Nom commun inscrit à la Loi,Population inscrite à la Loi,Statut à l’annexe 1,Date du dernier changement de statut,Annexe de la LEP,Date ajoutée,Aire de répartition,Groupe taxinomique,En cours d’examen aux fins de,Décision du GEC
Bar rayé,Population du fleuve Saint-Laurent,Disparue,2019-11-29,Morone saxatilis,Bar rayé,Population du fleuve Saint-Laurent,En voie de disparition,2021-06-17,Annexe 1,2011-06-23,Québec,Poissons d'eau douce,,Renvoyer
Bar rayé,Population du sud du golfe du Saint-Laurent,Préoccupante,2012-11-25,Morone saxatilis,Bar rayé,Population du sud du golfe du Saint-Laurent,Aucun statut,,Aucune annexe,,"Île-du-Prince-Édouard, Nouveau-Brunswick, Nouvelle-Écosse, Océan Atlantique, Québec",Poissons d'eau douce,Un ajout,En attente
Barbue à tête plate,,Données insuffisantes,2008-04-25,Pylodictis olivaris,,,Aucun statut,,Aucune annexe,,Ontario,Poissons d'eau douce,,
Barge hudsonienne,,Menacée,2019-05-03,Limosa haemastica,Barge hudsonienne,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest, Yukon",Oiseaux,Un ajout,En attente
Bartonie paniculée,,Menacée,2003-11-01,Bartonia paniculata ssp. paniculata,Bartonie paniculée,,Menacée,2005-07-14,Annexe 1,2005-07-14,Ontario,Plantes vasculaires,,Ajout à la liste
Bartramie à feuilles dressées,,Menacée,2023-12-01,Bartramia aprica,Bartramie à feuilles dressées,,En voie de disparition,,Annexe 1,2003-06-05,Colombie-Britannique,Mousses,Changement de statut,En attente
Bartramie de Haller,,Menacée,2011-11-25,Bartramia halleriana,Bartramie de Haller,,Menacée,2003-06-05,Annexe 1,2003-06-05,"Alberta, Colombie-Britannique",Mousses,,Ajout à la liste
Bec-croisé des sapins de la sous-espèce percna,,Menacée,2016-04-29,Loxia curvirostra percna,Bec-croisé des sapins de la sous-espèce percna,,Menacée,2019-05-22,Annexe 1,2005-07-14,"Québec, Terre-Neuve-et-Labrador",Oiseaux,,Rétrograder: En voie de disparition à menacée
Bec-de-lièvre,,Préoccupante,2013-11-01,Exoglossum maxillingua,Bec-de-lièvre,,Préoccupante,2019-08-08,Annexe 1,2019-08-08,"Ontario, Québec",Poissons d'eau douce,,Ajout à la liste
Bécasseau maubèche de la sous-espèce islandica,,Non en péril,2020-11-04,Calidris canutus islandica,Bécasseau maubèche de la sous-espèce islandica,,Aucun statut,2025-07-30,Aucune annexe,2012-06-20,"Nunavut, Territoires-du-Nord-Ouest",Oiseaux,,Retirer: Préoccupante à non en péril
Bécasseau maubèche de la sous-espèce roselaari,,Menacée,2020-11-04,Calidris canutus roselaari,Bécasseau maubèche de la sous-espèce roselaari,,Menacée,2025-07-30,Annexe 1,2010-02-23,"Colombie-Britannique, Yukon",Oiseaux,,
Bécasseau maubèche de la sous-espèce rufa,Population hivernant dans la Terre de Feu et en Patagonie,En voie de disparition,2020-11-04,Calidris canutus rufa,Bécasseau maubèche de la sous-espèce rufa,Population hivernant dans la Terre de Feu et en Patagonie,En voie de disparition,2025-07-30,Annexe 1,2012-06-20,"Alberta, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest",Oiseaux,,
Bécasseau maubèche de la sous-espèce rufa,Population hivernant dans le nord-est de l’Amérique du Sud,Préoccupante,2020-11-04,Calidris canutus rufa,Bécasseau maubèche de la sous-espèce rufa,Population hivernant dans le nord-est de l’Amérique du Sud,Préoccupante,2025-07-30,Annexe 1,2010-02-23,"Alberta, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest",Oiseaux,,Rétrograder: Menacée à préoccupante
Bécasseau maubèche de la sous-espèce rufa,"Population hivernant dans le sud-est des États-Unis, le golfe du Mexique et les Caraïbes",En voie de disparition,2020-11-04,Calidris canutus rufa,Bécasseau maubèche de la sous-espèce rufa,"Population hivernant dans le sud-est des États-Unis, le golfe du Mexique et les Caraïbes",En voie de disparition,2025-07-30,Annexe 1,2010-02-23,"Alberta, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Nunavut, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest",Oiseaux,,Promouvoir: Menacée à en voie de disparition
Bécasseau maubèche du type roselaari,,Non active,2020-11-04,Calidris canutus roselaari type,Bécasseau maubèche du type roselaari,,Aucun statut,2025-07-30,Aucune annexe,2010-02-23,"Colombie-Britannique, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,Retirer - Réaffectation ES
Bécasseau roussâtre,,Préoccupante,2012-05-04,Tryngites subruficollis,Bécasseau roussâtre,,Préoccupante,2017-02-03,Annexe 1,2017-02-03,"Alberta, Colombie-Britannique, Manitoba, Nunavut, Ontario, Québec, Saskatchewan, Territoires-du-Nord-Ouest, Yukon",Oiseaux,,Ajout à la liste
Bécassin roux de la sous-espèce caurinus,,En voie de disparition,2024-11-28,Limnodromus griseus caurinus,Bécassin roux de la sous-espèce caurinus,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Yukon",Oiseaux,Un ajout,En attente
