Nom commun utilisé par le COSEPAC,Population selon le COSEPAC,Statut selon le COSEPAC,Date de la dernière évaluation par le COSEPAC,Nom scientifique,Nom commun inscrit à la Loi,Population inscrite à la Loi,Statut à l’annexe 1,Date du dernier changement de statut,Annexe de la LEP,Date ajoutée,Aire de répartition,Groupe taxinomique,En cours d’examen aux fins de,Décision du GEC
Renard véloce,,Menacée,2021-05-05,Vulpes velox,Renard véloce,,Menacée,2012-06-20,Annexe 1,2003-06-05,"Alberta, Saskatchewan",Mammifères terrestres,,Rétrograder: En voie de disparition à menacée
Renoncule à feuilles d'alisme,,En voie de disparition,2009-04-26,Ranunculus alismifolius,Renoncule à feuilles d'alisme,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Renoncule de Californie,,En voie de disparition,2008-11-28,Ranunculus californicus,Renoncule de Californie,,En voie de disparition,2011-02-04,Annexe 1,2011-02-04,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Requin bleu,Population de l’Atlantique Nord,Non en péril,2016-11-27,Prionace glauca,Requin bleu,Population de l’Atlantique Nord,Aucun statut,,Aucune annexe,,"Île-du-Prince-Édouard, Nouveau-Brunswick, Nouvelle-Écosse, Océan Atlantique, Québec, Terre-Neuve-et-Labrador",Poissons marins,,
Requin bleu,Population du Pacifique Nord,Non en péril,2016-11-27,Prionace glauca,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Requin griset,,Préoccupante,2007-04-22,Hexanchus griseus,Requin griset,,Préoccupante,2009-03-05,Annexe 1,2009-03-05,Océan Pacifique,Poissons marins,,Ajout à la liste
Requin-taupe bleu,Population de l'Atlantique,En voie de disparition,2019-05-03,Isurus oxyrinchus,Requin-taupe bleu,Population de l'Atlantique,Aucun statut,,Aucune annexe,,"Île-du-Prince-Édouard, Nouveau-Brunswick, Nouvelle-Écosse, Océan Atlantique, Québec, Terre-Neuve-et-Labrador",Poissons marins,Un ajout,En attente
Rhododendron à grandes feuilles,,Non en péril,1997-04-01,Rhododendron macrophyllum,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Plantes vasculaires,,
Rhynchospore à gros épillets,,En voie de disparition,2014-11-28,Rhynchospora macrostachya,Rhynchospore à gros épillets,,En voie de disparition,2019-02-25,Annexe 1,2019-02-25,Nouvelle-Écosse,Plantes vasculaires,,Ajout à la liste
Rorqual à bosse,Population de l'ouest de l'Atlantique Nord,Non en péril,2003-05-01,Megaptera novaeangliae,Rorqual à bosse,Population de l'ouest de l'Atlantique Nord,,,,,"Océan Arctique, Océan Atlantique",Mammifères marins,,
Rorqual à bosse,Population du Pacifique Nord,Préoccupante,2022-12-03,Megaptera novaeangliae kuzira,Rorqual à bosse,Population du Pacifique Nord,Préoccupante,2017-06-20,Annexe 1,2005-01-12,"Colombie-Britannique, Océan Pacifique",Mammifères marins,,Rétrograder: Menacée à préoccupante
Rorqual à bosse,Populations de l'ouest de l'Atlantique Nord et du Pacifique Nord,Non active,1985-04-01,Megaptera novaeangliae,Rorqual à bosse,Populations de l'ouest de l'Atlantique Nord et du Pacifique Nord,,,Aucune annexe,,"Océan Arctique, Océan Atlantique, Océan Pacifique",Mammifères marins,,
Rorqual bleu,,Non active,2002-05-01,Balaenoptera musculus,Rorqual bleu,,,,,,"Océan Atlantique, Océan Pacifique",Mammifères marins,,
Rorqual bleu,Population de l'Atlantique,En voie de disparition,2012-05-04,Balaenoptera musculus,Rorqual bleu,Population de l'Atlantique,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,Océan Atlantique,Mammifères marins,,Ajout à la liste
Rorqual bleu,Population du Pacifique,En voie de disparition,2012-05-04,Balaenoptera musculus,Rorqual bleu,Population du Pacifique,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,Océan Pacifique,Mammifères marins,,Ajout à la liste
Rorqual boréal,Population de l'Atlantique,En voie de disparition,2019-05-03,Balaenoptera borealis,Rorqual boréal,Population de l'Atlantique,Aucun statut,,Aucune annexe,,Océan Atlantique,Mammifères marins,Un ajout,En attente
Rorqual boréal,Population du Pacifique,En voie de disparition,2013-05-03,Balaenoptera borealis,Rorqual boréal,Population du Pacifique,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,Océan Pacifique,Mammifères marins,,Ajout à la liste
Rorqual commun,,Non active,2005-05-05,Balaenoptera physalus,Rorqual commun,,,,,,"Océan Atlantique, Océan Pacifique",Mammifères marins,,
Rorqual commun,Population de l'Atlantique,Préoccupante,2019-05-03,Balaenoptera physalus,Rorqual commun,Population de l'Atlantique,Préoccupante,2006-08-15,Annexe 1,2006-08-15,Océan Atlantique,Mammifères marins,,Ajout à la liste
Rorqual commun,Population du Pacifique,Préoccupante,2019-05-03,Balaenoptera physalus,Rorqual commun,Population du Pacifique,Menacée,,Annexe 1,2006-08-15,Océan Pacifique,Mammifères marins,Changement de statut,En attente
Rosier sétigère,,Préoccupante,2003-05-01,Rosa setigera,Rosier sétigère,,Préoccupante,2005-01-12,Annexe 1,2005-01-12,Ontario,Plantes vasculaires,,Ajout à la liste
Rotala rameux,,Non active,2014-11-28,Rotala ramosior,Rotala rameux,,Aucun statut,2019-02-25,Aucune annexe,2003-06-05,"Colombie-Britannique, Ontario",Plantes vasculaires,,Retirer - Réaffectation ES
Rotala rameux,Population des montagnes du Sud,En voie de disparition,2014-11-28,Rotala ramosior,Rotala rameux,Population des montagnes du Sud,En voie de disparition,,Annexe 1,2003-06-05,Colombie-Britannique,Plantes vasculaires,,
Rotala rameux,Population des plaines des Grands Lacs,Menacée,2014-11-28,Rotala ramosior,Rotala rameux,Population des plaines des Grands Lacs,Menacée,2019-02-25,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Rétrograder: En voie de disparition à menacée
Roule-caillou,,Non en péril,1998-04-01,Campostoma anomalum,,,Aucun statut,,Aucune annexe,,Ontario,Poissons d'eau douce,,
Sabatie de Kennedy,,En voie de disparition,2012-11-25,Sabatia kennedyana,Sabatie de Kennedy,,En voie de disparition,2018-02-02,Annexe 1,2003-06-05,Nouvelle-Écosse,Plantes vasculaires,,Promouvoir: Menacée à en voie de disparition
Salamandre à dos rayé,,Non en péril,2001-11-01,Plethodon vehiculum,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Amphibiens,,
Salamandre à longs doigts,,Non en péril,2006-04-29,Ambystoma macrodactylum,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique",Amphibiens,,
Salamandre à petite bouche,,En voie de disparition,2014-05-02,Ambystoma texanum,Salamandre à petite bouche,,En voie de disparition,2005-07-14,Annexe 1,2005-07-14,Ontario,Amphibiens,,Ajout à la liste
Salamandre à quatre doigts,,Non en péril,1999-04-01,Hemidactylium scutatum,,,Aucun statut,,Aucune annexe,,"Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec",Amphibiens,,
Salamandre de Coeur d'Alène,,Préoccupante,2021-05-05,Plethodon idahoensis,Salamandre de Coeur d'Alène,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Amphibiens,,Ajout à la liste
Salamandre de Jefferson,,En voie de disparition,2010-11-26,Ambystoma jeffersonianum,Salamandre de Jefferson,,En voie de disparition,2017-06-02,Annexe 1,2003-06-05,Ontario,Amphibiens,,Promouvoir: Menacée à en voie de disparition
Salamandre errante,,Préoccupante,2014-05-02,Aneides vagrans,Salamandre errante,,Préoccupante,2018-02-02,Annexe 1,2018-02-02,Colombie-Britannique,Amphibiens,,Ajout à la liste
Salamandre foncée,,Non en péril,1999-04-01,Ambystoma gracile,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Amphibiens,,
Salamandre pourpre,,Non active,2011-05-06,Gyrinophilus porphyriticus,Salamandre pourpre,,Aucun statut,2017-06-02,Aucune annexe,2005-01-12,"Ontario, Québec",Amphibiens,,Retirer - Réaffectation ES
Salamandre pourpre,Population carolinienne,Données insuffisantes,2018-04-27,Gyrinophilus porphyriticus,Salamandre pourpre,Population carolinienne,Aucun statut,2017-06-14,Aucune annexe,,Ontario,Amphibiens,,Renvoyer
Salamandre pourpre,Population des Adirondacks et des Appalaches,Menacée,2011-05-06,Gyrinophilus porphyriticus,Salamandre pourpre,Population des Adirondacks et des Appalaches,Menacée,2017-06-02,Annexe 1,2005-01-12,Québec,Amphibiens,,Promouvoir: Préoccupante à menacée
Salamandre sombre des montagnes,,Non active,2007-04-22,Desmognathus ochrophaeus,Salamandre sombre des montagnes,,Aucun statut,2009-03-05,Aucune annexe,2003-06-05,Québec,Amphibiens,,Retirer - Réaffectation ES
Salamandre sombre des montagnes,Population carolinienne,En voie de disparition,2018-04-27,Desmognathus ochrophaeus,Salamandre sombre des montagnes,Population carolinienne,En voie de disparition,2009-03-05,Annexe 1,2003-06-05,Ontario,Amphibiens,,Promouvoir: Menacée à en voie de disparition
Salamandre sombre des montagnes,Population des Appalaches,En voie de disparition,2018-04-27,Desmognathus ochrophaeus,Salamandre sombre des montagnes,Population des Appalaches,En voie de disparition,2021-04-23,Annexe 1,2003-06-05,Québec,Amphibiens,,Promouvoir: Menacée à en voie de disparition
Salamandre sombre du Nord,,Non active,2012-05-04,Desmognathus fuscus,,,Aucun statut,,Aucune annexe,,"Nouveau-Brunswick, Ontario, Québec",Amphibiens,,
Salamandre sombre du Nord,Population carolinienne,En voie de disparition,2012-05-04,Desmognathus fuscus,Salamandre sombre du Nord,Population carolinienne,En voie de disparition,2017-06-02,Annexe 1,2017-06-02,Ontario,Amphibiens,,Ajout à la liste
Salamandre sombre du Nord,Population du Québec et du Nouveau-Brunswick,Non en péril,2012-05-04,Desmognathus fuscus,,,Aucun statut,,Aucune annexe,,"Nouveau-Brunswick, Québec",Amphibiens,,
Salamandre tigrée de l’Est,Population carolinienne,Disparue du pays,2023-05-05,Ambystoma tigrinum,Salamandre tigrée de l’Est,Population carolinienne,Disparue du pays,,Annexe 1,2003-06-05,Ontario,Amphibiens,,
Salamandre tigrée de l’Est,Population des Prairies,En voie de disparition,2013-11-01,Ambystoma tigrinum,Salamandre tigrée de l’Est,Population des Prairies,En voie de disparition,2018-02-02,Annexe 1,2018-02-02,Manitoba,Amphibiens,,Ajout à la liste
Salamandre tigrée de l’Ouest,Population boréale et des Prairies,Préoccupante,2012-11-25,Ambystoma mavortium,Salamandre tigrée de l’Ouest,Population boréale et des Prairies,Préoccupante,2018-02-02,Annexe 1,2018-02-02,"Alberta, Manitoba, Saskatchewan",Amphibiens,,Ajout à la liste
Salamandre tigrée de l’Ouest,Population des montagnes du Sud,En voie de disparition,2012-11-25,Ambystoma mavortium,Salamandre tigrée de l’Ouest,Population des montagnes du Sud,En voie de disparition,,Annexe 1,2003-06-05,Colombie-Britannique,Amphibiens,,
Salamandre tigrée,Population boréale et des Prairies,Non active,2012-11-25,Ambystoma tigrinum,,,Aucun statut,,Aucune annexe,,"Alberta, Manitoba, Saskatchewan",Amphibiens,,
Salamandre tigrée,Population des Grands Lacs,Non active,2012-11-25,Ambystoma tigrinum,Salamandre tigrée,Population des Grands Lacs,Aucun statut,2018-02-02,Aucune annexe,2003-06-05,Ontario,Amphibiens,,Retirer - Réaffectation ES
Salamandre tigrée,Population des montagnes du Sud,Non active,2012-11-25,Ambystoma tigrinum,Salamandre tigrée,Population des montagnes du Sud,Aucun statut,2018-02-02,Aucune annexe,2003-06-05,Colombie-Britannique,Amphibiens,,Retirer - Réaffectation ES
Salamandre variable,,Non en péril,1999-04-01,Ensatina eschscholtzii,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Amphibiens,,
Sanicle bipinnatifide,,Menacée,2001-05-01,Sanicula bipinnatifida,Sanicle bipinnatifide,,Menacée,2003-06-05,Annexe 1,2003-06-05,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Sanicle patte-d'ours,,Menacée,2015-11-26,Sanicula arctopoides,Sanicle patte-d'ours,,Menacée,2019-02-25,Annexe 1,2003-06-05,Colombie-Britannique,Plantes vasculaires,,Rétrograder: En voie de disparition à menacée
Sardine du Pacifique,,Non en péril,2002-05-01,Sardinops sagax,Sardine du Pacifique,,,,,,Océan Pacifique,Poissons marins,,
Satyre fauve des Maritimes,,En voie de disparition,2009-04-26,Coenonympha nipisiquit,Satyre fauve des Maritimes,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,"Nouveau-Brunswick, Québec",Arthropodes,,Ajout à la liste
Saule à bractées vertes,,Menacée,2020-11-04,Salix chlorolepis,Saule à bractées vertes,,Menacée,2007-12-13,Annexe 1,2007-12-13,Québec,Plantes vasculaires,,Ajout à la liste
Saule de Turnor,,Préoccupante,2018-04-27,Salix turnorii,Saule de Turnor,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,Saskatchewan,Plantes vasculaires,,Ajout à la liste
Saule de Tyrrell,,Non en péril,1999-04-01,Salix tyrrellii,,,Aucun statut,,Aucune annexe,,"Nunavut, Saskatchewan, Territoires-du-Nord-Ouest",Plantes vasculaires,,
Saule des landes,,En voie de disparition,2001-05-01,Salix jejuna,Saule des landes,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Terre-Neuve-et-Labrador,Plantes vasculaires,,Ajout à la liste
Saule psammophile,,Préoccupante,2018-04-27,Salix brachycarpa var. psammophila,Saule psammophile,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,Saskatchewan,Plantes vasculaires,,Ajout à la liste
Saule silicicole,,Préoccupante,2018-04-27,Salix silicicola,Saule silicicole,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,Saskatchewan,Plantes vasculaires,,Ajout à la liste
Saumon atlantique,Population de l'est du Cap-Breton,En voie de disparition,2010-11-26,Salmo salar,Saumon atlantique,Population de l'est du Cap-Breton,Aucun statut,,Aucune annexe,,"Nouvelle-Écosse, Océan Atlantique",Poissons marins,Un ajout,En attente
Saumon atlantique,Population de l'intérieur de la baie de Fundy,En voie de disparition,2010-11-26,Salmo salar,Saumon atlantique,Population de l'intérieur de la baie de Fundy,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,"Nouveau-Brunswick, Nouvelle-Écosse, Océan Atlantique",Poissons marins,,Ajout à la liste
Saumon atlantique,Population de la Gaspésie-sud du golfe Saint-Laurent,Préoccupante,2010-11-26,Salmo salar,Saumon atlantique,Population de la Gaspésie-sud du golfe Saint-Laurent,Aucun statut,,Aucune annexe,,"Île-du-Prince-Édouard, Nouveau-Brunswick, Nouvelle-Écosse, Océan Atlantique, Québec",Poissons marins,Un ajout,En attente
Saumon atlantique,Population de l’est de la Côte-Nord du Québec,Préoccupante,2010-11-26,Salmo salar,Saumon atlantique,Population de l’est de la Côte-Nord du Québec,Aucun statut,,Aucune annexe,,"Océan Atlantique, Québec",Poissons marins,Un ajout,En attente
Saumon atlantique,Population de l’extérieur de la baie de Fundy,En voie de disparition,2010-11-26,Salmo salar,Saumon atlantique,Population de l’extérieur de la baie de Fundy,Aucun statut,,Aucune annexe,,"Nouveau-Brunswick, Océan Atlantique",Poissons marins,Un ajout,En attente
Saumon atlantique,Population de l’île d’Anticosti,En voie de disparition,2010-11-26,Salmo salar,Saumon atlantique,Population de l’île d’Anticosti,Aucun statut,,Aucune annexe,,"Océan Atlantique, Québec",Poissons marins,Un ajout,En attente
Saumon atlantique,Population de l’intérieur du Saint-Laurent,Préoccupante,2010-11-26,Salmo salar,Saumon atlantique,Population de l’intérieur du Saint-Laurent,Aucun statut,,Aucune annexe,,"Océan Atlantique, Québec",Poissons marins,Un ajout,En attente
Saumon atlantique,Population de l’ouest de la Côte-Nord du Québec,Préoccupante,2010-11-26,Salmo salar,Saumon atlantique,Population de l’ouest de la Côte-Nord du Québec,Aucun statut,,Aucune annexe,,"Océan Atlantique, Québec",Poissons marins,Un ajout,En attente
Saumon atlantique,Population des hautes terres du sud de la Nouvelle-Écosse,En voie de disparition,2010-11-26,Salmo salar,Saumon atlantique,Population des hautes terres du sud de la Nouvelle-Écosse,Aucun statut,,Aucune annexe,,"Nouvelle-Écosse, Océan Atlantique",Poissons marins,Un ajout,En attente
Saumon atlantique,Population du Labrador,Non en péril,2010-11-26,Salmo salar,,,Aucun statut,,Aucune annexe,,"Océan Atlantique, Québec, Terre-Neuve-et-Labrador",Poissons marins,,
Saumon atlantique,Population du lac Ontario,Disparue,2010-11-26,Salmo salar,Saumon atlantique,Population du lac Ontario,Aucun statut,,Aucune annexe,,"Océan Atlantique, Ontario",Poissons marins,,
Saumon atlantique,Population du nord-est de Terre-Neuve,Non en péril,2010-11-26,Salmo salar,,,Aucun statut,,Aucune annexe,,"Océan Atlantique, Terre-Neuve-et-Labrador",Poissons marins,,
Saumon atlantique,Population du nord-ouest de Terre-Neuve,Non en péril,2010-11-26,Salmo salar,,,Aucun statut,,Aucune annexe,,"Océan Atlantique, Terre-Neuve-et-Labrador",Poissons marins,,
Saumon atlantique,Population du Nunavik,Données insuffisantes,2010-11-26,Salmo salar,,,Aucun statut,,Aucune annexe,,"Océan Atlantique, Québec, Terre-Neuve-et-Labrador",Poissons marins,,
Saumon atlantique,Population du sud de Terre-Neuve,Menacée,2010-11-26,Salmo salar,Saumon atlantique,Population du sud de Terre-Neuve,Aucun statut,,Aucune annexe,,"Océan Atlantique, Terre-Neuve-et-Labrador",Poissons marins,Un ajout,En attente
Saumon atlantique,Population du sud-ouest de Terre-Neuve,Non en péril,2010-11-26,Salmo salar,,,Aucun statut,,Aucune annexe,,"Océan Atlantique, Québec, Terre-Neuve-et-Labrador",Poissons marins,,
Saumon chinook,"Population de l'est de l'île de Vancouver, type océanique, automne",Préoccupante,2020-11-04,Oncorhynchus tshawytscha,Saumon chinook,"Population de l'est de l'île de Vancouver, type océanique, automne",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population de l'est de l'île de Vancouver, type océanique, automne (EVI + SFj)",Non en péril,2020-11-04,Oncorhynchus tshawytscha,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon chinook,"Population de l'est de l'île de Vancouver, type océanique, été",En voie de disparition,2020-11-04,Oncorhynchus tshawytscha,Saumon chinook,"Population de l'est de l'île de Vancouver, type océanique, été",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,Population de l'Okanagan,En voie de disparition,2017-04-28,Oncorhynchus tshawytscha,Saumon chinook,Population de l'Okanagan,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population de l'ouest de l'île de Vancouver, type océanique, automne (Nootka et Kyuquot)",Menacée,2020-11-04,Oncorhynchus tshawytscha,Saumon chinook,"Population de l'ouest de l'île de Vancouver, type océanique, automne (Nootka et Kyuquot)",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population de l'ouest de l'île de Vancouver, type océanique, automne (sud)",Menacée,2020-11-04,Oncorhynchus tshawytscha,Saumon chinook,"Population de l'ouest de l'île de Vancouver, type océanique, automne (sud)",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population de l'ouest de l'île de Vancouver, type océanique, automne (WVI + WQCI)",Données insuffisantes,2020-11-04,Oncorhynchus tshawytscha,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon chinook,"Population de la côte sud - détroit de Georgia, type océanique, automne",Données insuffisantes,2020-11-04,Oncorhynchus tshawytscha,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon chinook,"Population de la côte sud - fjords du sud, type océanique, automne",Données insuffisantes,2020-11-04,Oncorhynchus tshawytscha,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon chinook,"Population de la Thompson inférieure, type fluvial, printemps",En voie de disparition,2020-11-04,Oncorhynchus tshawytscha,Saumon chinook,"Population de la Thompson inférieure, type fluvial, printemps",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population de la Thompson Nord, type fluvial, été",En voie de disparition,2018-11-01,Oncorhynchus tshawytscha,Saumon chinook,"Population de la Thompson Nord, type fluvial, été",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population de la Thompson Nord, type fluvial, printemps",En voie de disparition,2018-11-01,Oncorhynchus tshawytscha,Saumon chinook,"Population de la Thompson Nord, type fluvial, printemps",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population de la Thompson Sud, type fluvial, été 1.2",En voie de disparition,2018-11-01,Oncorhynchus tshawytscha,Saumon chinook,"Population de la Thompson Sud, type fluvial, été 1.2",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population de la Thompson Sud, type fluvial, été 1.3",En voie de disparition,2020-11-04,Oncorhynchus tshawytscha,Saumon chinook,"Population de la Thompson Sud, type fluvial, été 1.3",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population de la Thompson Sud, type océanique, été",Non en péril,2018-11-01,Oncorhynchus tshawytscha,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon chinook,"Population de l’est de l’île de Vancouver, type fluvial, printemps",En voie de disparition,2018-11-01,Oncorhynchus tshawytscha,Saumon chinook,"Population de l’est de l’île de Vancouver, type fluvial, printemps",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population du bas Fraser, type fluvial, été",Menacée,2018-11-01,Oncorhynchus tshawytscha,Saumon chinook,"Population du bas Fraser, type fluvial, été",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population du bas Fraser, type fluvial, été (haute Pitt)",En voie de disparition,2018-11-01,Oncorhynchus tshawytscha,Saumon chinook,"Population du bas Fraser, type fluvial, été (haute Pitt)",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population du bas Fraser, type fluvial, printemps",Préoccupante,2018-11-01,Oncorhynchus tshawytscha,Saumon chinook,"Population du bas Fraser, type fluvial, printemps",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population du bas Fraser, type océanique, automne",Menacée,2018-11-01,Oncorhynchus tshawytscha,Saumon chinook,"Population du bas Fraser, type océanique, automne",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population du bas Fraser, type océanique, été",En voie de disparition,2020-11-04,Oncorhynchus tshawytscha,Saumon chinook,"Population du bas Fraser, type océanique, été",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population du haut Fraser, type fluvial, printemps",En voie de disparition,2018-11-01,Oncorhynchus tshawytscha,Saumon chinook,"Population du haut Fraser, type fluvial, printemps",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population du moyen Fraser, type fluvial, automne",En voie de disparition,2018-11-01,Oncorhynchus tshawytscha,Saumon chinook,"Population du moyen Fraser, type fluvial, automne",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population du moyen Fraser, type fluvial, été",Menacée,2018-11-01,Oncorhynchus tshawytscha,Saumon chinook,"Population du moyen Fraser, type fluvial, été",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population du moyen Fraser, type fluvial, printemps",En voie de disparition,2018-11-01,Oncorhynchus tshawytscha,Saumon chinook,"Population du moyen Fraser, type fluvial, printemps",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population du moyen Fraser, type fluvial, printemps (MF+DetG)",Menacée,2018-11-01,Oncorhynchus tshawytscha,Saumon chinook,"Population du moyen Fraser, type fluvial, printemps (MF+DetG)",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon chinook,"Population du sud de la partie continentale (C.-.B.), type fluvial, été",Données insuffisantes,2018-11-01,Oncorhynchus tshawytscha,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon chinook,"Population du sud de la partie continentale (C.-.B.), type océanique, été",Données insuffisantes,2018-11-01,Oncorhynchus tshawytscha,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon chinook,"Population du sud de la partie continentale (C.-B.) - baie Boundary, type océanique, automne",Menacée,2020-11-04,Oncorhynchus tshawytscha,Saumon chinook,"Population du sud de la partie continentale (C.-B.) - baie Boundary, type océanique, automne",Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon coho,Population du Fraser intérieur,Menacée,2016-11-27,Oncorhynchus kisutch,Saumon coho,Population du Fraser intérieur,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Adams-DE (originale),Disparue,2021-12-01,Oncorhynchus nerka,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon rouge,Population Alouette-DE (originale),Préoccupante,2021-12-01,Oncorhynchus nerka,Saumon rouge,Population Alouette-DE (originale),Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Anderson-Seton-DE,Non en péril,2017-11-01,Oncorhynchus nerka,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon rouge,Population Bowron-DE,En voie de disparition,2017-11-01,Oncorhynchus nerka,Saumon rouge,Population Bowron-DE,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Chilko-DE,Non en péril,2017-11-01,Oncorhynchus nerka,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon rouge,Population Chilko-E,Non en péril,2017-11-01,Oncorhynchus nerka,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon rouge,Population Chilliwack-DE,Non en péril,2017-11-01,Oncorhynchus nerka,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon rouge,Population Complexe Shuswap-T,Non en péril,2017-11-01,Oncorhynchus nerka,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon rouge,Population Coquitlam-DE (originale),Préoccupante,2021-12-01,Oncorhynchus nerka,Saumon rouge,Population Coquitlam-DE (originale),Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
